name;gruppe;kategorie;kurzname;blz;bic;plz;ort
1822direkt (Geschäftsfeld der Frankfurter Sparkasse);Direktbank/Neobank;Direktbank;;50050222;HELADEF1822;60255;Frankfurt am Main
C24 Bank;Direktbank/Neobank;Neobank;;50024024;DEFFDEFFXXX;60327;Frankfurt am Main
Deutsche Kreditbank (DKB);Direktbank/Neobank;Direktbank;;12030000;BYLADEM1001;10117;Berlin
ING-DiBa;Direktbank/Neobank;Direktbank;;50010517;INGDDEFFXXX;;Frankfurt am Main
Klarna Bank, German Branch;Direktbank/Neobank;Neobank;;10010300;KLRNDEBEXXX;10115;Berlin
N26 Bank;Direktbank/Neobank;Neobank;;10011001;NTSBDEB1XXX;10179;Berlin
Openbank Deutschland;Direktbank/Neobank;Direktbank;;10033300;SCFBDE33XXX;41061;Mönchengladbach
Revolut Bank, Zweigniederlassung Deutschland;Direktbank/Neobank;Neobank;;10010178;REVODEB2XXX;10117;Berlin
Scalable Capital Bank;Direktbank/Neobank;Neobank;;70022424;SCABDEMMXXX;;München
Trade Republic Bank;Direktbank/Neobank;Neobank;;10012345;TRBKDEBBXXX;10119;Berlin
bunq Niederlassung Deutschland;Direktbank/Neobank;Neobank;;37019000;BUNQDE82XXX;50667;Köln
comdirect (Geschäftsfeld der Commerzbank);Direktbank/Neobank;Direktbank;;20041111;COBADEHDXXX;25449;Quickborn
norisbank;Direktbank/Neobank;Direktbank;;10077777;NORSDE51XXX;10625;Berlin
BSK 1818 - Berliner Sparkasse;Sparkasse;;BSK 1818-Berliner Sparkasse;10050000;BELADEBEXXX;10889;Berlin
Bordesholmer Sparkasse;Sparkasse;;Bordesholmer Sparkasse;21051275;NOLADE21BOR;24582;Bordesholm
Frankfurter Sparkasse;Sparkasse;;Frankfurter Spk Frankfurt;50050201;HELADEF1822;60255;Frankfurt am Main
Frankfurter Sparkasse GF 1822direkt;Sparkasse;;Frankfurter Spk 1822direkt;50050222;HELADEF1822;60255;Frankfurt am Main
Förde Sparkasse;Sparkasse;;Förde Sparkasse;21050170;NOLADE21KIE;24103;Kiel
Hamburger Sparkasse;Sparkasse;;Haspa Hamburg;20050550;HASPDEHHXXX;20354;Hamburg
Herner Sparkasse;Sparkasse;;Herner Sparkasse;43250030;WELADED1HRN;44621;Herne
Kasseler Sparkasse;Sparkasse;;Kasseler Sparkasse;52050353;HELADEF1KAS;34117;Kassel
Kreis-Sparkasse Northeim;Sparkasse;;Kr Spk Northeim;26250001;NOLADE21NOM;37144;Northeim
Mittelbrandenburgische Sparkasse in Potsdam;Sparkasse;;Mittelbrandenbg Sparkasse;16050000;WELADED1PMB;14459;Potsdam
Müritz-Sparkasse;Sparkasse;;Müritz-Sparkasse Waren;15050100;NOLADE21WRN;17192;Waren (Müritz)
Nassauische Sparkasse;Sparkasse;;Nass Spk Wiesbaden;51050015;NASSDE55XXX;65034;Wiesbaden
Niederrheinische Sparkasse RheinLippe;Sparkasse;;NISPA;35650000;WELADED1WES;46466;Wesel
Nord-Ostsee Sparkasse;Sparkasse;;Nord-Ostsee Spk Schleswig;21750000;NOLADE21NOS;24837;Schleswig
Ostsächsische Sparkasse Dresden;Sparkasse;;Ostsächsische Spk Dresden;85050300;OSDDDE81XXX;01305;Dresden
Rheinhessen Sparkasse;Sparkasse;;Rheinhessen Sparkasse;55350010;MALADE51WOR;55116;Mainz
Rhön-Rennsteig-Sparkasse;Sparkasse;;Rhön-Rennsteig-Sparkasse;84050000;HELADEF1RRS;98617;Meiningen
Sparkasse Aachen;Sparkasse;;Sparkasse Aachen;39050000;AACSDE33XXX;52059;Aachen
Sparkasse Allgäu;Sparkasse;;Sparkasse Allgäu;73350000;BYLADEM1ALG;87435;Kempten (Allgäu)
Sparkasse Altbayern;Sparkasse;;Spk Altbayern;72051210;BYLADEM1AIC;86551;Aichach
Sparkasse Altenburger Land;Sparkasse;;Spk Altenburger Land;83050200;HELADEF1ALT;04581;Altenburg
Sparkasse Altmark West;Sparkasse;;Spk Altmark West Salzwedel;81055555;NOLADE21SAW;29402;Salzwedel, Hansestadt
Sparkasse Altötting-Mühldorf;Sparkasse;;Spk Altötting-Mühldorf;71151020;BYLADEM1MDF;84445;Mühldorf a. Inn
Sparkasse Amberg-Sulzbach;Sparkasse;;Sparkasse Amberg-Sulzbach;75250000;BYLADEM1ABG;92206;Amberg
Sparkasse Ansbach;Sparkasse;;Sparkasse Ansbach;76550000;BYLADEM1ANS;91509;Ansbach
Sparkasse Arnstadt-Ilmenau;Sparkasse;;Sparkasse Arnstadt-Ilmenau;84051010;HELADEF1ILK;98685;Ilmenau
Sparkasse Aschaffenburg Miltenberg;Sparkasse;;Spk AschaffenburgMiltenberg;79550000;BYLADEM1ASA;63739;Aschaffenburg
Sparkasse Attendorn-Lennestadt-Kirchhundem;Sparkasse;;Spk Attend-Lennest-Kirchhdm;46251630;WELADED1ALK;57428;Attendorn
Sparkasse Aurich-Norden;Sparkasse;;Spk Aurich-Norden;28350000;BRLADE21ANO;26603;Aurich
Sparkasse Bad Hersfeld-Rotenburg;Sparkasse;;Spk Bad Hersfeld-Rotenburg;53250000;HELADEF1HER;36229;Bad Hersfeld
Sparkasse Bad Kissingen;Sparkasse;;Spk Bad Kissingen;79351010;BYLADEM1KIS;97688;Bad Kissingen
Sparkasse Bad Neustadt a d Saale;Sparkasse;;Spk Bad Neustadt a d Saale;79353090;BYLADEM1NES;97615;Bad Neustadt a.d.Saale
Sparkasse Bad Oeynhausen-Porta Westfalica;Sparkasse;;Spk Bad Oeynh.-Porta Westf.;49051285;WELADED1OEH;32543;Bad Oeynhausen
Sparkasse Bad Tölz-Wolfratshausen;Sparkasse;;Spk Bad Tölz-Wolfratshausen;70054306;BYLADEM1WOR;83646;Bad Tölz
Sparkasse Baden-Baden Gaggenau;Sparkasse;;Spk Baden-Baden Gaggenau;66250030;SOLADES1BAD;76530;Baden-Baden
Sparkasse Bamberg;Sparkasse;;Spk Bamberg;77050000;BYLADEM1SKB;96055;Bamberg
Sparkasse Barnim;Sparkasse;;Sparkasse Barnim Eberswalde;17052000;WELADED1GZE;16204;Eberswalde
Sparkasse Bayreuth;Sparkasse;;Sparkasse Bayreuth;77350110;BYLADEM1SBT;95440;Bayreuth
Sparkasse Bensheim;Sparkasse;;Sparkasse Bensheim;50950068;HELADEF1BEN;64601;Bensheim
Sparkasse Berchtesgadener Land;Sparkasse;;Spk Berchtesgadener Land;71050000;BYLADEM1BGL;83435;Bad Reichenhall
Sparkasse Bergkamen-Bönen;Sparkasse;;Spk Bergkamen-Bönen;41051845;WELADED1BGK;59180;Bergkamen
Sparkasse Bielefeld;Sparkasse;;Spk Bielefeld;48050161;SPBIDE3BXXX;33526;Bielefeld
Sparkasse Bochum;Sparkasse;;Sparkasse Bochum;43050001;WELADED1BOC;44724;Bochum
Sparkasse Bodensee;Sparkasse;;Sparkasse Bodensee;69050001;SOLADES1KNZ;78420;Konstanz
Sparkasse Bonndorf-Stühlingen;Sparkasse;;Spk Bonndorf-Stühlingen;68051207;SOLADES1BND;79844;Bonndorf im Schwarzwald
Sparkasse Borken-Schwalmstadt;Sparkasse;;Spk Borken-Schwalmst,Borken;52053458;HELADEF1SWA;34582;Borken (Hessen)
Sparkasse Bottrop;Sparkasse;;Spk Bottrop;42451220;WELADED1BOT;46215;Bottrop
Sparkasse Bremen;Sparkasse;;Spk Bremen;29050101;SBREDE22XXX;28078;Bremen
Sparkasse Burbach-Neunkirchen;Sparkasse;;Spk Burbach-Neunkirchen;46051240;WELADED1BUB;57291;Burbach
Sparkasse Burgenlandkreis;Sparkasse;;Spk Burgenlandkreis;80053000;NOLADE21BLK;06694;Zeitz
Sparkasse Bühl;Sparkasse;;Sparkasse Bühl;66251434;SOLADES1BHL;77815;Bühl
Sparkasse Celle-Gifhorn-Wolfsburg;Sparkasse;;Spk Celle-Gifhorn-Wolfsburg;26951311;NOLADE21GFW;38518;Gifhorn
Sparkasse Chemnitz;Sparkasse;;Sparkasse Chemnitz;87050000;CHEKDE81XXX;09009;Chemnitz
Sparkasse Coburg-Lichtenfels;Sparkasse;;Spk Coburg-Lichtenfels;78350000;BYLADEM1COB;96421;Coburg
Sparkasse Dachau;Sparkasse;;Sparkasse Dachau;70051540;BYLADEM1DAH;85219;Dachau
Sparkasse Darmstadt und Dieburg;Sparkasse;;Spk Darmstadt und Dieburg;50850150;HELADEF1DAS;64278;Darmstadt
Sparkasse Deggendorf;Sparkasse;;Spk Deggendorf;74150000;BYLADEM1DEG;94459;Deggendorf
Sparkasse Dillenburg;Sparkasse;;Spk Dillenburg;51650045;HELADEF1DIL;35683;Dillenburg
Sparkasse Donnersberg;Sparkasse;;Sparkasse Donnersberg;54051990;MALADE51ROK;67802;Rockenhausen
Sparkasse Dortmund;Sparkasse;;Sparkasse Dortmund;44050199;DORTDE33XXX;44047;Dortmund
Sparkasse Duderstadt;Sparkasse;;Sparkasse Duderstadt;26051260;NOLADE21DUD;37105;Duderstadt
Sparkasse Duisburg;Sparkasse;;Spk Duisburg;35050000;DUISDE33XXX;47015;Duisburg
Sparkasse Düren;Sparkasse;;Sparkasse Düren;39550110;SDUEDE33XXX;52324;Düren
Sparkasse Einbeck;Sparkasse;;Sparkasse Einbeck;26251425;NOLADE21EIN;37574;Einbeck
Sparkasse Elbe-Elster;Sparkasse;;Sparkasse Elbe-Elster;18051000;WELADED1EES;03231;Finsterwalde
Sparkasse Elmshorn;Sparkasse;;Spk Elmshorn;22150000;NOLADE21ELH;25335;Elmshorn
Sparkasse Emden;Sparkasse;;Sparkasse Emden;28450000;BRLADE21EMD;26702;Emden
Sparkasse Emsland;Sparkasse;;Spk Emsland;26650001;NOLADE21EMS;49704;Meppen
Sparkasse Engen-Gottmadingen;Sparkasse;;Spk Engen-Gottmadingen;69251445;SOLADES1ENG;78229;Engen
Sparkasse Essen;Sparkasse;;Sparkasse Essen;36050105;SPESDE3EXXX;45117;Essen
Sparkasse Forchheim;Sparkasse;;Sparkasse Forchheim;76351040;BYLADEM1FOR;91299;Forchheim
Sparkasse Freiburg-Nördlicher Breisgau;Sparkasse;;Spk Freiburg-Nördl Breisgau;68050101;FRSPDE66XXX;79098;Freiburg im Breisgau
Sparkasse Freising Moosburg;Sparkasse;;Sparkasse Freising Moosburg;70051003;BYLADEM1FSI;85354;Freising
Sparkasse Freyung-Grafenau;Sparkasse;;Spk Freyung-Grafenau;74051230;BYLADEM1FRG;94078;Freyung
Sparkasse Fulda;Sparkasse;;Sparkasse Fulda;53050180;HELADEF1FDS;36035;Fulda
Sparkasse Fürstenfeldbruck;Sparkasse;;Spk Fürstenfeldbruck;70053070;BYLADEM1FFB;82243;Fürstenfeldbruck
Sparkasse Fürth;Sparkasse;;Spk Fürth;76250000;BYLADEM1SFU;90762;Fürth
Sparkasse Gelsenkirchen;Sparkasse;;Sparkasse Gelsenkirchen;42050001;WELADED1GEK;45801;Gelsenkirchen
Sparkasse Gera-Greiz;Sparkasse;;Spk Gera-Greiz;83050000;HELADEF1GER;07503;Gera
Sparkasse Geseke;Sparkasse;;Sparkasse Geseke;41651965;WELADED1GES;59585;Geseke
Sparkasse Gießen;Sparkasse;;Sparkasse Gießen;51350025;SKGIDE5FXXX;35347;Gießen
Sparkasse Grünberg;Sparkasse;;Sparkasse Grünberg;51351526;HELADEF1GRU;35305;Grünberg
Sparkasse Gummersbach;Sparkasse;;Spk Gummersbach;38450000;WELADED1GMB;51608;Gummersbach
Sparkasse Göttingen;Sparkasse;;Sparkasse Göttingen;26050001;NOLADE21GOE;37070;Göttingen
Sparkasse Gütersloh-Rietberg-Versmold;Sparkasse;;Spk.Gütersl.-Rietb.-Versmo.;47850065;WELADED1GTL;33260;Gütersloh
Sparkasse Hameln-Weserbergland;Sparkasse;;Spk Hameln-Weserbergland;25450110;NOLADE21SWB;31763;Hameln
Sparkasse Hamm;Sparkasse;;Sparkasse Hamm;41050095;WELADED1HAM;59061;Hamm
Sparkasse Hanauerland;Sparkasse;;Spk Hanauerland Kehl;66451862;SOLADES1KEL;77694;Kehl
Sparkasse Hannover;Sparkasse;;Sparkasse Hannover;25050180;SPKHDE2HXXX;30001;Hannover
Sparkasse Harburg-Buxtehude;Sparkasse;;Spk Harburg-Buxtehude;20750000;NOLADE21HAM;21045;Hamburg
Sparkasse Hattingen;Sparkasse;;Sparkasse Hattingen;43051040;WELADED1HTG;45504;Hattingen
Sparkasse Hegau-Bodensee;Sparkasse;;Sparkasse Hegau-Bodensee;69250035;SOLADES1SNG;78202;Singen (Hohentwiel)
Sparkasse Heidelberg;Sparkasse;;Spk Heidelberg;67250020;SOLADES1HDB;69004;Heidelberg
Sparkasse Hellweg-Lippe;Sparkasse;;Sparkasse Hellweg-Lippe;41450075;WELADED1SOS;59553;Lippstadt
Sparkasse Herford;Sparkasse;;Sparkasse Herford;49450120;WLAHDE44XXX;32045;Herford
Sparkasse Hilden-Ratingen-Velbert;Sparkasse;;Sparkasse HRV;33450000;WELADED1VEL;42510;Velbert
Sparkasse Hildesheim Goslar Peine;Sparkasse;;Sparkasse HGP;25950130;NOLADE21HIK;31134;Hildesheim
Sparkasse Hochfranken;Sparkasse;;Spk Hochfranken;78050000;BYLADEM1HOF;95015;Hof
Sparkasse Hochrhein;Sparkasse;;Sparkasse Hochrhein;68452290;SKHRDE6WXXX;79761;Waldshut-Tiengen
Sparkasse Hochschwarzwald;Sparkasse;;Spk Hochschwarzwald T-Neust;68051004;SOLADES1HSW;79812;Titisee-Neustadt
Sparkasse Hockenheim;Sparkasse;;Spk Hockenheim;67051203;SOLADES1HOC;68766;Hockenheim
Sparkasse Hohenlohekreis;Sparkasse;;Sparkasse Hohenlohekreis;62251550;SOLADES1KUN;74641;Künzelsau
Sparkasse Holstein;Sparkasse;;Spk Holstein Eutin;21352240;NOLADE21HOL;23692;Eutin
Sparkasse Ingolstadt Eichstätt;Sparkasse;;Spk Ingolstadt Eichstätt;72150000;BYLADEM1ING;85023;Ingolstadt
Sparkasse Jena-Saale-Holzland;Sparkasse;;Spk Jena-Saale-Holzland;83053030;HELADEF1JEN;07740;Jena
Sparkasse Kaiserslautern;Sparkasse;;Spk Kaiserslautern;54050220;MALADE51KLK;67653;Kaiserslautern
Sparkasse Karlsruhe;Sparkasse;;Spk Karlsruhe;66050101;KARSDE66XXX;76041;Karlsruhe
Sparkasse Kierspe-Meinerzhagen;Sparkasse;;Spk Kierspe-Meinerzhagen;45851665;WELADED1KMZ;58531;Meinerzhagen
Sparkasse Kinzigtal;Sparkasse;;Spk Kinzigtal;66451548;SOLADES1HAL;77716;Haslach im Kinzigtal
Sparkasse Koblenz;Sparkasse;;Sparkasse Koblenz;57050120;MALADE51KOB;56013;Koblenz
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim;Sparkasse;;Spk Kraichgau;66350036;BRUSDE66XXX;76643;Bruchsal
Sparkasse Krefeld;Sparkasse;;Sparkasse Krefeld;32050000;SPKRDE33XXX;47719;Krefeld
Sparkasse Kulmbach-Kronach;Sparkasse;;Spk Kulmbach-Kronach;77150000;BYLADEM1KUB;95311;Kulmbach
Sparkasse KölnBonn;Sparkasse;;Sparkasse KölnBonn;37050198;COLSDE33XXX;50667;Köln
Sparkasse Landsberg-Dießen;Sparkasse;;Spk Landsberg-Dießen;70052060;BYLADEM1LLD;86896;Landsberg am Lech
Sparkasse Landshut;Sparkasse;;Spk Landshut;74350000;BYLADEM1LAH;84011;Landshut
Sparkasse Langen-Seligenstadt;Sparkasse;;Spk Langen-Seligenstadt;50652124;HELADEF1SLS;63487;Seligenstadt
Sparkasse Laubach-Hungen;Sparkasse;;Sparkasse Laubach-Hungen;51352227;HELADEF1LAU;35321;Laubach
Sparkasse LeerWittmund;Sparkasse;;Sparkasse LeerWittmund;28550000;BRLADE21LER;26766;Leer (Ostfriesland)
Sparkasse Lemgo;Sparkasse;;Sparkasse Lemgo;48250110;WELADED1LEM;32655;Lemgo
Sparkasse Leverkusen;Sparkasse;;Sparkasse Leverkusen;37551440;WELADEDLLEV;51312;Leverkusen
Sparkasse Lörrach-Rheinfelden;Sparkasse;;Sparkasse Lörrach-Rheinfeld;68350048;SKLODE66XXX;79537;Lörrach
Sparkasse Lüneburg;Sparkasse;;Spk Lüneburg;24050110;NOLADE21LBG;21309;Lüneburg
Sparkasse MagdeBurg;Sparkasse;;Spk MDB;81053272;NOLADE21MDG;39015;Magdeburg
Sparkasse Mainfranken Würzburg;Sparkasse;;Spk Mainfranken Würzburg;79050000;BYLADEM1SWU;97067;Würzburg
Sparkasse Mansfeld-Südharz;Sparkasse;;Sparkasse Mansfeld-Südharz;80055008;NOLADE21EIL;06283;Lutherstadt Eisleben
Sparkasse Marburg-Biedenkopf;Sparkasse;;Spk Marburg-Biedenkopf;53350000;HELADEF1MAR;35009;Marburg
Sparkasse Markgräflerland;Sparkasse;;Sparkasse Markgräflerland;68351865;SOLADES1MGL;79576;Weil am Rhein
Sparkasse Mecklenburg-Nordwest;Sparkasse;;Spk Mecklenburg-Nordwest;14051000;NOLADE21WIS;23951;Wismar
Sparkasse Mecklenburg-Schwerin;Sparkasse;;Spk Mecklenburg-Schwerin;14052000;NOLADE21LWL;19053;Schwerin
Sparkasse Mecklenburg-Strelitz;Sparkasse;;Spk Mecklenburg-Strelitz;15051732;NOLADE21MST;17235;Neustrelitz
Sparkasse Meißen;Sparkasse;;Spk Meißen;85055000;SOLADES1MEI;01587;Riesa
Sparkasse Merzig-Wadern;Sparkasse;;Spk Merzig-Wadern;59351040;MERZDE55XXX;66651;Merzig
Sparkasse Minden-Lübbecke;Sparkasse;;Sparkasse Minden-Lübbecke;49050101;WELADED1MIN;32382;Minden
Sparkasse Mittelfranken-Süd;Sparkasse;;Spk Mittelfranken-Süd;76450000;BYLADEM1SRS;91154;Roth
Sparkasse Mittelholstein;Sparkasse;;Spk Mittelholst Rendsburg;21450000;NOLADE21RDB;24768;Rendsburg
Sparkasse Mittelmosel-Eifel Mosel Hunsrück;Sparkasse;;Spk Mittelmosel EMH;58751230;MALADE51BKS;54469;Bernkastel-Kues
Sparkasse Mittelsachsen;Sparkasse;;Spk Mittelsachsen;87052000;WELADED1FGX;09583;Freiberg
Sparkasse Mittelthüringen;Sparkasse;;Spk Mittelthüringen;82051000;HELADEF1WEM;99084;Erfurt
Sparkasse Mitten im Sauerland;Sparkasse;;Spk Mitten im Sauerland;46650005;WELADED1ARN;59872;Meschede
Sparkasse Muldental;Sparkasse;;Spk Muldental;86050200;SOLADES1GRM;04662;Grimma
Sparkasse Märkisches Sauerland Hemer-Menden;Sparkasse;;Spk Märkisches Sauerland;44551210;WELADED1HEM;58675;Hemer
Sparkasse Mülheim an der Ruhr;Sparkasse;;Spk Mülheim an der Ruhr;36250000;SPMHDE3EXXX;45466;Mülheim an der Ruhr
Sparkasse Münsterland Ost;Sparkasse;;Spk Münsterland Ost;40050150;WELADED1MST;48151;Münster
Sparkasse Neckartal-Odenwald;Sparkasse;;Spk Neckartal-Odenwald;67450048;SOLADES1MOS;74819;Mosbach
Sparkasse Neu-Ulm-Illertissen;Sparkasse;;Spk Neu-Ulm Illertissen;73050000;BYLADEM1NUL;89231;Neu-Ulm
Sparkasse Neubrandenburg-Demmin;Sparkasse;;Spk Neubrandenburg-Demmin;15050200;NOLADE21NBS;17041;Neubrandenburg
Sparkasse Neumarkt i d OPf-Parsberg;Sparkasse;;Spk Neumarkt i d OPf-Parsbg;76052080;BYLADEM1NMA;92303;Neumarkt i.d.OPf.
Sparkasse Neunkirchen;Sparkasse;;Sparkasse Neunkirchen;59252046;SALADE51NKS;66538;Neunkirchen
Sparkasse Neuss;Sparkasse;;Sparkasse Neuss;30550000;WELADEDNXXX;41456;Neuss
Sparkasse Neuwied;Sparkasse;;Sparkasse Neuwied;57450120;MALADE51NWD;56510;Neuwied
Sparkasse Niederbayern-Mitte;Sparkasse;;Spk Niederbayern-Mitte;74250000;BYLADEM1SRG;94304;Straubing
Sparkasse Niederlausitz;Sparkasse;;Sparkasse Niederlausitz;18055000;WELADED1OSL;01957;Senftenberg
Sparkasse Nienburg;Sparkasse;;Sparkasse Nienburg;25650106;NOLADE21NIB;31567;Nienburg (Weser)
Sparkasse Nordschwaben;Sparkasse;;Sparkasse Nordschwaben;72251520;BYLADEM1DLG;89407;Dillingen a.d.Donau
Sparkasse Nürnberg;Sparkasse;;Sparkasse Nürnberg;76050101;SSKNDE77XXX;90327;Nürnberg
Sparkasse Oberhessen;Sparkasse;;Spk Oberhessen;51850079;HELADEF1FRI;61167;Friedberg (Hessen)
Sparkasse Oberland;Sparkasse;;Sparkasse Oberland;70351030;BYLADEM1WHM;82362;Weilheim i. OB
Sparkasse Oberlausitz-Niederschlesien;Sparkasse;;Spk Oberlausitz-Niederschl.;85050100;WELADED1GRL;02763;Zittau
Sparkasse Oberpfalz Nord;Sparkasse;;Spk Oberpfalz Nord;75350000;BYLADEM1WEN;92615;Weiden i.d.OPf.
Sparkasse Odenwaldkreis;Sparkasse;;Spk Odenwaldkreis Erbach;50851952;HELADEF1ERB;64711;Erbach
Sparkasse Oder-Spree;Sparkasse;;Sparkasse Oder-Spree;17055050;WELADED1LOS;15203;Frankfurt (Oder)
Sparkasse Offenburg/Ortenau;Sparkasse;;Sparkasse Offenburg/Ortenau;66450050;SOLADES1OFG;77662;Offenburg
Sparkasse Olpe-Drolshagen-Wenden;Sparkasse;;Spk Olpe-Drolshagen-Wenden;46250049;WELADED1OPE;57447;Olpe
Sparkasse Osnabrück;Sparkasse;;Sparkasse Osnabrück;26550105;NOLADE22XXX;49018;Osnabrück
Sparkasse Osterode am Harz;Sparkasse;;Sparkasse Osterode am Harz;26351015;NOLADE21HZB;37520;Osterode am Harz
Sparkasse Ostprignitz-Ruppin;Sparkasse;;Spk Ostprignitz-Ruppin;16050202;WELADED1OPR;16816;Neuruppin
Sparkasse Paderborn-Detmold-Höxter;Sparkasse;;Spk Paderborn-Detmold-Höxt.;47650130;WELADE3LXXX;32756;Detmold
Sparkasse Parchim-Lübz;Sparkasse;;Sparkasse Parchim-Lübz;14051362;NOLADE21PCH;19370;Parchim
Sparkasse Passau;Sparkasse;;Spk Passau;74050000;BYLADEM1PAS;94014;Passau
Sparkasse Pfaffenhofen;Sparkasse;;Spk Pfaffenhofen;72151650;BYLADEM1PAF;85262;Pfaffenhofen a.d.Ilm
Sparkasse Pforzheim Calw;Sparkasse;;Sparkasse Pforzheim Calw;66650085;PZHSDE66XXX;75172;Pforzheim
Sparkasse Pfullendorf-Meßkirch;Sparkasse;;Spk Pfullendorf-Meßkirch;69051620;SOLADES1PFD;88630;Pfullendorf
Sparkasse Prignitz;Sparkasse;;Sparkasse Prignitz;16050101;WELADED1PRP;16928;Pritzwalk
Sparkasse Rastatt-Gernsbach;Sparkasse;;Sparkasse Rastatt-Gernsbach;66550070;SOLADES1RAS;76402;Rastatt
Sparkasse Regen-Viechtach;Sparkasse;;Sparkasse Regen-Viechtach;74151450;BYLADEM1REG;94202;Regen
Sparkasse Regensburg;Sparkasse;;Spk Regensburg;75050000;BYLADEM1RBG;93042;Regensburg
Sparkasse Rhein Neckar Nord;Sparkasse;;Spk Rhein Neckar Nord;67050505;MANSDE66XXX;68151;Mannheim
Sparkasse Rhein-Haardt;Sparkasse;;Spk Rhein-Haardt;54651240;MALADE51DKH;67087;Bad Dürkheim
Sparkasse Rhein-Maas;Sparkasse;;Sparkasse Rhein-Maas;32450000;WELADED1KLE;47533;Kleve
Sparkasse Rhein-Nahe;Sparkasse;;Sparkasse Rhein-Nahe;56050180;MALADE51KRE;55541;Bad Kreuznach
Sparkasse Rosenheim-Bad Aibling;Sparkasse;;Spk Rosenheim-Bad Aibling;71150000;BYLADEM1ROS;83004;Rosenheim
